Base Unit of Measure,Calendar Month,Calendar Week,Country,Currency_GR value pstg. date,Currency_Net order value,Date on which the purchasing document was created,Evaluated Receipt Settlement_ERS,Final Invoice Indicator,Fiscal year,Fiscal year/period,Fiscal year variant,Goods Receipt Indicator,GR-Based Invoice Verification,Inbound Delivery Date,InfoProvider,Invoice Receipt Indicator,Item Category in Purchasing Document,Item number of purchasing document,Item of Principal Agreement,Local Currency,Material Group,Meeting ID,Name of requisitioner/requester,Number of Principal Purchase Agreement,Order unit,Planned delivery date of document schedule line,Planned Delivery Month,Plant,Plant Material,PO Approver ID,PO Item,PO Release date,PO Release Indicator,PO Requisitioner Personnel Number,Posting Date in the Document,Product Description,Puchasing document category,Purchase Document Date,Purchase Order Currency,Purchasing document number,Purchasing Document Type,Purchasing Group,Purchasing Organization,Request Transaction Sequence Number,Schedule line date,Schedule line number,Statistics date,Status of purchasing document,Trial Alias,Unit Goods Receipt Quantity in Base Unit,Unit Invoiced Quantity in Base Unit,Unit Open Quantity,Unit Order Quantity in Base Unit,Unit Order quantity,Unit PO quantity,Unit Quantity Received
EA,6,24,Barbados,40631.98,1123.71,2025-06-11,No,Reason,How,Physical,No,No,Guess,2025-07-06,528328863,Alone,Goal,86,Put,JPY,Such,948504760,David Porter,775222603,EA,2026-07-16,Feel,EU02,MAT-55297,EMP874139,10,2025-06-10,Pending,135114989,2025-06-11,New Solution,Key,2025-06-11,GBP,8160108498,NB,PG48,NA01,520956836,2025-07-06,5,2025-06-19,Open,CT-1816-RCG,219,123,135,247,460,247,247
EA,7,30,Barbados,35381.76,11996.88,2025-07-23,Yes,Even,Though,Reality,Book,Yes,Professor,2025-08-11,474631562,Maybe,Certain,39,Well,JPY,Congress,472827314,Donna Duarte,327831126,EA,2026-02-12,Expect,AP03,MAT-37872,EMP587295,75,2025-07-22,Pending,236322142,2025-07-23,Effort Capsule,Yes,2025-07-23,USD,3745976975,NB,PG81,NA01,263646576,2025-08-11,5,2026-10-28,Closed,CT-1816-RCG,4,20,0,23,34,23,20
EA,11,48,Niger,33466.32,18980.74,2024-11-28,Yes,Grow,Discover,If,Somebody,No,Fire,2024-12-24,134484040,Increase,Occur,12,Exactly,USD,Friend,549394552,William Parks,456474608,EA,2026-01-19,Way,LAT04,MAT-66257,EMP216135,73,2024-11-27,Released,464718308,2024-11-28,Hundred Solution,Pull,2024-11-28,GBP,7893466623,FO,PG89,NA01,205736594,2024-12-24,3,2024-11-06,Open,CT-7484-BIH,80,130,188,206,500,206,202
EA,6,24,Haiti,34337.48,7764.93,2025-06-13,Yes,Ready,Main,Win,Know,Yes,Power,2025-07-12,730581195,Human,Popular,84,Early,GBP,Our,380017185,James Parks,811404409,EA,2025-04-26,Card,US01,MAT-78401,EMP293899,90,2025-06-12,Pending,632930946,2025-06-13,Expect Tablet,Believe,2025-06-13,USD,1093190780,NB,PG76,NA01,763800419,2025-07-12,2,2025-04-24,Open,CT-1696-SCY,101,96,204,241,470,241,238
EA,6,23,Niger,12282.58,6222.74,2025-06-05,Yes,Lose,Level,Usually,Girl,No,Decide,2025-06-14,140321819,Prove,Name,29,Watch,USD,They,387844709,Gregory Norman,839260453,EA,2025-07-07,Work,LAT04,MAT-66257,EMP435653,10,2025-06-04,Released,991891146,2025-06-05,Hundred Solution,Between,2025-06-05,USD,9385217774,FO,PG32,EU01,683418741,2025-06-14,2,2025-12-11,Open,CT-7484-BIH,130,32,171,270,325,270,265
EA,4,15,Central African Republic,11283.2,30704.65,2025-04-08,No,Say,Issue,Option,Professional,Yes,Language,2025-04-20,607204053,Project,Mother,88,Beat,USD,Probably,739777039,Samuel Hardy,439571613,EA,2026-02-10,Everybody,LAT04,MAT-22610,EMP174817,64,2025-04-07,Released,773887918,2025-04-08,Us Solution,Always,2025-04-08,GBP,3701026832,NB,PG74,EU01,294900558,2025-04-20,1,2024-12-07,Open,CT-9771-CZL,64,116,139,173,21,173,172
EA,2,6,Serbia,9292.11,2184.3,2025-02-08,Yes,Believe,Federal,Each,General,Yes,Necessary,2025-02-18,775293393,Value,Discussion,48,There,EUR,Base,908561440,Jessica White,983474939,EA,2026-04-14,Executive,US01,MAT-74459,EMP955222,53,2025-02-07,Released,685101803,2025-02-08,Memory Solution,Hair,2025-02-08,GBP,6511825791,NB,PG13,NA01,697848710,2025-02-18,4,2024-09-17,Open,CT-8015-GMQ,19,32,89,161,6,161,156
EA,2,6,Mauritius,28548.24,15038.44,2025-02-03,Yes,Else,Ground,Let,Increase,No,Himself,2025-03-03,954510768,Along,Beat,67,Begin,EUR,Dark,558103917,Cindy Perkins,182058175,EA,2026-06-30,Training,LAT04,MAT-53554,EMP939358,56,2025-02-02,Released,847286536,2025-02-03,They Capsule,Scene,2025-02-03,GBP,3406153667,FO,PG87,NA01,313471194,2025-03-03,1,2025-09-09,Open,CT-5014-EEP,4,51,8,51,483,51,48
EA,8,32,Haiti,32006.1,24030.85,2025-08-06,No,While,Well,Fish,For,Yes,Charge,2025-08-24,588910552,Language,Industry,27,Through,GBP,Over,570768075,Jacob Brock,557296892,EA,2024-02-10,Produce,EU02,MAT-14115,EMP701399,36,2025-08-05,Pending,127365713,2025-08-06,Property Tablet,Expect,2025-08-06,EUR,9524516443,NB,PG34,EU01,208404845,2025-08-24,3,2023-11-25,Closed,CT-1696-SCY,55,60,10,77,354,77,77
EA,9,40,Libyan Arab Jamahiriya,48846.44,20888.62,2025-09-29,No,Analysis,Statement,Fast,Represent,Yes,Money,2025-10-22,201143047,Media,Out,13,Himself,USD,Since,576488845,Sarah Luna,387367834,EA,2025-01-31,Article,EU02,MAT-68176,EMP130027,26,2025-09-28,Pending,904695261,2025-09-29,Treat Tablet,Manage,2025-09-29,USD,5314950664,NB,PG17,EU01,982950200,2025-10-22,3,2024-10-19,Closed,CT-3230-HFO,15,2,14,15,349,15,14
EA,5,20,Puerto Rico,42328.65,36468.03,2025-05-14,No,Or,Pressure,Should,Enough,No,Republican,2025-05-28,463662171,Hair,Source,19,Dinner,USD,Factor,142787269,David Salazar,681320009,EA,2024-04-15,End,EU02,MAT-32011,EMP204612,64,2025-05-13,Released,360731967,2025-05-14,Offer Tablet,This,2025-05-14,GBP,2065114756,NB,PG47,EU01,983883658,2025-05-28,1,2024-05-12,Open,CT-2004-PSX,232,224,258,275,59,275,273
EA,5,20,Sudan,1146.16,30905.61,2025-05-12,No,Factor,Fill,Maintain,Offer,Yes,Leave,2025-06-09,740859710,Go,Move,45,Agency,USD,Wife,331421227,Dr. Nathan Figueroa,274245149,EA,2023-11-14,Might,LAT04,MAT-53554,EMP291489,63,2025-05-11,Released,864924803,2025-05-12,They Capsule,Physical,2025-05-12,EUR,5931031677,NB,PG24,EU01,790183548,2025-06-09,2,2026-09-20,Open,CT-5014-EEP,36,18,167,229,456,229,228
EA,3,12,Mozambique,11446.34,33640.8,2025-03-22,No,I,Budget,Ready,Price,No,Picture,2025-04-11,930599714,Job,Movie,41,Congress,JPY,Two,885836697,Marissa Weiss,592530791,EA,2023-11-22,Head,EU02,MAT-82398,EMP514402,39,2025-03-21,Pending,788274855,2025-03-22,Range Solution,Those,2025-03-22,USD,8857735421,FO,PG86,NA01,508308500,2025-04-11,1,2024-05-23,Open,CT-8970-PLO,37,3,0,55,93,55,52
EA,6,25,Brunei Darussalam,10346.71,14337.13,2025-06-20,No,Heart,Tv,We,Take,Yes,Chance,2025-07-17,589641506,Second,Recent,19,Sort,JPY,Number,421146507,Bradley Bernard,171183741,EA,2025-05-08,Cost,US01,MAT-30745,EMP114610,67,2025-06-19,Released,554122249,2025-06-20,Indicate Patch,Several,2025-06-20,GBP,9597250523,FO,PG64,EU01,198897120,2025-07-17,3,2025-06-13,Open,CT-4229-AWU,0,8,243,299,402,299,298
EA,2,8,Azerbaijan,13262.24,13210.51,2025-02-23,Yes,With,Fear,System,Range,No,Single,2025-03-10,957432154,Certainly,Player,30,Sense,GBP,Wear,728504125,Lisa Walker,359903702,EA,2025-05-17,Over,LAT04,MAT-39627,EMP704505,90,2025-02-22,Pending,922966464,2025-02-23,Fund Tablet,Choice,2025-02-23,USD,3505619586,NB,PG17,NA01,903198991,2025-03-10,4,2024-10-14,Closed,CT-5014-EEP,123,48,21,170,375,170,167
EA,2,5,Burundi,33598.53,36316.79,2025-02-01,Yes,Air,Response,Without,Trip,No,Economic,2025-02-13,105792709,Them,Decision,82,Thought,JPY,Interest,576469447,Joseph Anderson,404703796,EA,2026-03-22,With,EU02,MAT-18458,EMP857815,62,2025-01-31,Pending,110341779,2025-02-01,Reason Tablet,Wear,2025-02-01,EUR,1526908109,FO,PG20,NA01,883787873,2025-02-13,5,2024-09-15,Open,CT-7487-KNX,34,30,11,73,398,73,73
EA,3,13,Thailand,15715.25,18583.55,2025-03-29,No,Kid,Bank,Hour,Store,No,Work,2025-04-14,861541433,Tv,Series,25,Some,GBP,Dark,773773094,Jennifer Thompson,314515781,EA,2025-11-28,Material,AP03,MAT-18409,EMP276194,40,2025-03-28,Released,954656491,2025-03-29,Commercial Tablet,End,2025-03-29,USD,1709521773,NB,PG19,NA01,617238241,2025-04-14,1,2026-04-06,Open,CT-3228-ZKT,125,42,145,237,359,237,237
EA,1,4,San Marino,5593.79,27309.75,2025-01-24,No,Positive,Likely,Then,Seek,Yes,Game,2025-02-07,347137806,Probably,Music,62,Group,USD,Name,109044090,Justin Patterson DDS,111521732,EA,2024-09-13,Base,EU02,MAT-47254,EMP595922,81,2025-01-23,Pending,510214947,2025-01-24,Article Tablet,Occur,2025-01-24,EUR,7269147130,FO,PG34,EU01,527558836,2025-02-07,2,2026-09-07,Open,CT-8742-ECD,64,33,236,247,322,247,245
EA,1,2,Central African Republic,26928.53,30643.31,2025-01-09,No,Last,Tree,Me,Read,Yes,Thousand,2025-01-19,611234815,Woman,Business,18,Strategy,USD,Become,427784738,Bradley Ryan,681723847,EA,2025-07-07,Rather,LAT04,MAT-93544,EMP854738,76,2025-01-08,Released,624094160,2025-01-09,Player Solution,Customer,2025-01-09,GBP,7659203080,FO,PG54,EU01,571020410,2025-01-19,1,2025-03-17,Closed,CT-9771-CZL,189,95,76,293,399,293,289
EA,7,30,Bouvet Island (Bouvetoya),17675.26,28182.89,2025-07-21,No,Near,Hospital,Really,Enough,No,International,2025-08-20,493078057,Either,Side,55,Customer,GBP,Bring,754820435,Amanda Wood,821751886,EA,2026-04-13,Others,EU02,MAT-40089,EMP803355,10,2025-07-20,Released,311835607,2025-07-21,Pull Patch,Democrat,2025-07-21,USD,4979938023,NB,PG15,NA01,313606612,2025-08-20,1,2023-12-03,Closed,CT-4229-AWU,15,44,12,51,391,51,49
EA,10,41,Nauru,15074.91,20434.74,2025-10-12,No,Development,Another,Would,Age,Yes,Outside,2025-10-30,234132071,Feel,Section,69,Public,JPY,Leg,627638968,Bryan Harris,971018471,EA,2024-05-28,Reality,EU02,MAT-15875,EMP847386,64,2025-10-11,Released,825412502,2025-10-12,Happy Solution,Reason,2025-10-12,USD,5259367945,NB,PG86,NA01,214484365,2025-10-30,1,2024-06-13,Closed,CT-8742-ECD,137,21,21,198,312,198,196
EA,7,31,United States of America,12179.68,37411.78,2025-07-31,No,Live,Collection,President,Street,Yes,Likely,2025-08-19,234818832,Teacher,Often,40,Smile,EUR,Knowledge,722013924,Wayne Perkins,985848841,EA,2025-06-25,Hundred,EU02,MAT-55297,EMP649369,61,2025-07-30,Pending,632599333,2025-07-31,New Solution,Discussion,2025-07-31,GBP,9864581628,FO,PG43,NA01,935453892,2025-08-19,5,2024-12-03,Closed,CT-1816-RCG,44,75,95,150,439,150,147
EA,6,24,Barbados,11246.69,7883.08,2025-06-11,Yes,Return,Above,And,Task,Yes,Foreign,2025-07-08,661650707,Pull,Modern,61,Officer,JPY,Best,625864880,Thomas Bright,685095154,EA,2026-05-17,Direction,AP03,MAT-37872,EMP775167,68,2025-06-10,Released,483880934,2025-06-11,Effort Capsule,Draw,2025-06-11,EUR,5091073183,NB,PG34,EU01,721731670,2025-07-08,1,2025-05-09,Open,CT-1816-RCG,68,21,69,101,61,101,99
EA,12,51,San Marino,38500.26,37662.73,2024-12-20,No,Large,Meet,Thousand,See,No,Knowledge,2025-01-08,706454939,Carry,Performance,66,Hand,EUR,Score,230104221,Latoya Johnson,231947632,EA,2026-02-21,Begin,LAT04,MAT-16848,EMP640178,39,2024-12-19,Pending,154617641,2024-12-20,Blue Patch,World,2024-12-20,GBP,5831963422,NB,PG34,EU01,414737529,2025-01-08,3,2024-12-28,Closed,CT-8742-ECD,8,27,11,28,444,28,26
EA,1,1,Barbados,13435.04,36281.7,2025-01-04,Yes,Manage,At,Available,Watch,Yes,Wonder,2025-01-14,275625607,Into,Arm,31,On,GBP,Economic,713613886,Jose Oliver,913788226,EA,2026-08-03,Common,AP03,MAT-37872,EMP834560,27,2025-01-03,Pending,598643895,2025-01-04,Effort Capsule,Born,2025-01-04,EUR,9224706482,FO,PG29,NA01,621695957,2025-01-14,4,2026-03-13,Open,CT-1816-RCG,72,51,147,213,13,213,209
EA,12,49,Barbados,18922.81,44747.3,2024-12-05,No,Test,Time,Shoulder,Statement,No,International,2024-12-15,888957617,With,Similar,67,Environment,EUR,Rich,593182486,Isabella Rowe,999333499,EA,2026-03-27,Way,AP03,MAT-37872,EMP665596,32,2024-12-04,Pending,409088037,2024-12-05,Effort Capsule,Owner,2024-12-05,GBP,7544674075,NB,PG47,NA01,679502033,2024-12-15,5,2024-07-04,Open,CT-1816-RCG,163,37,178,254,77,254,254
EA,10,43,Algeria,6132.22,908.03,2025-10-20,Yes,Food,In,Report,Size,Yes,Left,2025-11-09,216444015,Agreement,Itself,19,Describe,GBP,Future,280363213,Lisa Morgan,411081699,EA,2025-06-19,Now,AP03,MAT-42350,EMP702441,71,2025-10-19,Released,961731126,2025-10-20,Figure Capsule,Include,2025-10-20,GBP,1698182543,NB,PG96,NA01,663927528,2025-11-09,5,2026-08-13,Closed,CT-5806-JWO,122,141,81,234,256,234,229
EA,1,4,Barbados,20846.53,41600.46,2025-01-20,No,Skin,More,Whom,Worker,Yes,Well,2025-01-29,569572524,Exactly,View,31,Value,USD,Rather,277932427,Jordan Pearson,642848971,EA,2026-05-01,Year,LAT04,MAT-17085,EMP605521,56,2025-01-19,Released,286259703,2025-01-20,Myself Capsule,Knowledge,2025-01-20,USD,4898316631,NB,PG55,NA01,512923704,2025-01-29,1,2023-11-17,Closed,CT-6592-IDY,19,92,34,200,67,200,198
EA,10,40,Turkey,34162.78,39406.92,2025-10-05,No,After,Expect,Media,Dinner,Yes,Garden,2025-10-15,845633404,Reach,News,40,Prove,EUR,Almost,531780231,Brandy Smith,716115612,EA,2025-05-13,Poor,LAT04,MAT-82814,EMP983573,88,2025-10-04,Pending,980397963,2025-10-05,Reduce Solution,Term,2025-10-05,USD,8378672343,FO,PG28,EU01,898081634,2025-10-15,4,2026-04-26,Closed,CT-3395-UCM,7,8,0,11,275,11,8
EA,10,42,Moldova,24758.66,35799.98,2025-10-14,Yes,Argue,Professional,And,Only,Yes,Reflect,2025-10-25,342440039,Maintain,Feeling,18,Majority,JPY,Cold,499308214,Heather Anthony,398863389,EA,2024-01-21,Sort,AP03,MAT-98864,EMP779762,86,2025-10-13,Pending,901517678,2025-10-14,Positive Injection,Enjoy,2025-10-14,GBP,4578163482,FO,PG68,NA01,918375818,2025-10-25,4,2026-03-08,Open,CT-9781-BYC,29,41,147,169,15,169,164
EA,6,24,Belize,38429.24,26491.27,2025-06-10,Yes,Draw,Soon,Exactly,Friend,No,Short,2025-06-27,967162560,Threat,Season,43,First,USD,Reason,379617381,Christie Collier,880276268,EA,2025-10-08,Read,AP03,MAT-86168,EMP961440,50,2025-06-09,Released,222388778,2025-06-10,Run Solution,Politics,2025-06-10,USD,8224115449,NB,PG17,NA01,784209597,2025-06-27,3,2025-12-23,Closed,CT-6109-EDZ,101,6,87,113,94,113,110
EA,7,30,Barbados,41336.42,28047.87,2025-07-24,No,Manager,Third,Behind,Degree,Yes,Similar,2025-08-07,799620182,Republican,Leader,78,Authority,GBP,General,182756019,Kevin Casey,710610973,EA,2025-08-11,Son,EU02,MAT-55297,EMP183224,21,2025-07-23,Released,190110084,2025-07-24,New Solution,As,2025-07-24,EUR,2472548590,NB,PG13,NA01,484789641,2025-08-07,3,2024-02-21,Open,CT-1816-RCG,60,36,63,88,301,88,86
EA,1,5,Pitcairn Islands,21101.86,28517.15,2025-01-27,No,Top,Party,Painting,American,No,White,2025-02-05,465788969,Opportunity,Never,61,Growth,GBP,Project,588349247,Jeffrey Carlson,631763708,EA,2026-01-26,Later,US01,MAT-16627,EMP649047,50,2025-01-26,Pending,785855966,2025-01-27,Receive Patch,Administration,2025-01-27,EUR,6411172768,NB,PG47,NA01,357181244,2025-02-05,5,2024-07-11,Closed,CT-9831-IEW,13,10,1,13,459,13,8
EA,5,20,Jersey,20203.13,36281.61,2025-05-18,Yes,Family,In,Drug,Put,No,Particularly,2025-06-17,984014054,Own,Fact,40,Local,JPY,Social,382746217,Albert Hammond,937794717,EA,2026-08-17,Direction,AP03,MAT-49651,EMP706162,14,2025-05-17,Pending,413286541,2025-05-18,High Injection,Meet,2025-05-18,USD,3487067849,FO,PG81,EU01,148113590,2025-06-17,4,2026-01-21,Closed,CT-9831-IEW,103,131,140,162,275,162,160
EA,12,51,Switzerland,11826.43,29671.22,2024-12-16,Yes,Over,Star,Go,Clearly,Yes,Through,2025-01-01,811030597,Degree,Successful,71,Thank,JPY,Ability,481233051,Nathan Wong,413879563,EA,2024-06-25,Unit,AP03,MAT-54713,EMP481408,67,2024-12-15,Pending,271569754,2024-12-16,Free Solution,His,2024-12-16,GBP,8086146757,NB,PG56,NA01,831222010,2025-01-01,1,2026-07-13,Closed,CT-3230-HFO,22,12,25,40,417,40,37
EA,7,31,Philippines,2693.05,26850.49,2025-07-31,Yes,Old,Herself,Near,Mrs,No,Paper,2025-08-25,350757702,Wrong,Out,30,Night,JPY,Develop,169370837,James Chandler,989446862,EA,2025-02-14,Crime,US01,MAT-23246,EMP458502,76,2025-07-30,Pending,878015725,2025-07-31,Type Injection,Production,2025-07-31,EUR,1992067186,NB,PG22,EU01,140434665,2025-08-25,2,2025-06-28,Open,CT-8872-GKR,171,201,100,234,257,234,229
EA,2,7,Azerbaijan,49688.84,29869.93,2025-02-11,No,Huge,Center,Growth,Leader,Yes,Teach,2025-02-26,393503735,According,Administration,64,Company,EUR,Town,321200491,Denise Nash,817483551,EA,2025-10-16,Move,LAT04,MAT-16078,EMP501861,44,2025-02-10,Pending,316381422,2025-02-11,Stock Patch,Against,2025-02-11,GBP,6212536247,NB,PG25,EU01,248539968,2025-02-26,1,2026-11-06,Open,CT-9831-IEW,21,162,128,172,192,172,167
EA,6,24,San Marino,23548.44,8620.11,2025-06-10,No,Expect,Since,Everyone,Side,Yes,Check,2025-07-02,221980824,Important,Exist,61,Education,JPY,Discover,247181899,James Carson,513280872,EA,2025-10-10,Each,LAT04,MAT-16848,EMP725645,88,2025-06-09,Pending,367394228,2025-06-10,Blue Patch,There,2025-06-10,EUR,8261667448,NB,PG77,EU01,240853837,2025-07-02,1,2026-09-24,Open,CT-8742-ECD,19,69,49,70,442,70,70
EA,9,39,New Caledonia,24608.51,28781.96,2025-09-26,Yes,Amount,Day,Hot,Bit,Yes,To,2025-10-21,411141302,Expert,Item,12,Soldier,JPY,Part,155388287,Shane Lane,171742406,EA,2025-09-29,Share,AP03,MAT-47986,EMP568835,55,2025-09-25,Pending,236347653,2025-09-26,Experience Tablet,Hour,2025-09-26,GBP,7429186962,NB,PG27,EU01,630678951,2025-10-21,4,2025-12-08,Closed,CT-4229-AWU,86,98,18,124,65,124,119
EA,4,15,Bulgaria,12441.22,20573.19,2025-04-08,Yes,Technology,Left,Bit,Same,Yes,Set,2025-05-02,775100646,Talk,Address,17,Different,GBP,Class,836379026,Meagan Richardson,243222694,EA,2025-05-17,Radio,US01,MAT-81584,EMP603399,72,2025-04-07,Pending,897470990,2025-04-08,Set Solution,Determine,2025-04-08,USD,8674438060,NB,PG69,NA01,652681703,2025-05-02,5,2025-01-20,Open,CT-5806-JWO,15,17,2,102,165,102,99
EA,4,17,San Marino,49871.36,26821.04,2025-04-25,No,West,Give,Before,Someone,Yes,Baby,2025-05-04,793795828,Course,Real,41,Involve,EUR,As,602079736,Heather Hines,844468661,EA,2025-09-09,I,EU02,MAT-47254,EMP493761,46,2025-04-24,Pending,545204803,2025-04-25,Article Tablet,Spend,2025-04-25,USD,8123545150,NB,PG76,EU01,991974700,2025-05-04,4,2026-04-07,Closed,CT-8742-ECD,140,198,78,208,225,208,207
EA,3,13,Guinea-Bissau,18401.89,12265.45,2025-03-29,Yes,Foreign,Light,Whose,Including,Yes,Stock,2025-04-26,849000844,Boy,Kid,72,Watch,USD,Beautiful,881157786,Christopher Johnson,515117611,EA,2024-06-19,If,EU02,MAT-97442,EMP722156,81,2025-03-28,Released,125746797,2025-03-29,Common Patch,Personal,2025-03-29,GBP,4589661193,NB,PG29,EU01,518208659,2025-04-26,1,2023-12-13,Open,CT-2004-PSX,166,107,119,197,398,197,196
EA,10,41,Trinidad and Tobago,48608.26,20226.23,2025-10-07,No,Assume,Guy,Toward,We,Yes,Big,2025-10-14,699860126,Few,Less,36,Suggest,USD,Understand,405196269,Keith Holden,148946918,EA,2024-01-15,Billion,US01,MAT-84153,EMP308509,18,2025-10-06,Released,617906202,2025-10-07,Floor Patch,Audience,2025-10-07,GBP,9842679788,FO,PG20,EU01,374122283,2025-10-14,5,2024-07-30,Closed,CT-3472-PNG,44,190,185,247,223,247,246
EA,7,31,Liechtenstein,27268.43,7150.15,2025-07-29,No,Part,President,Just,Discussion,Yes,Service,2025-08-12,393254362,Behavior,Draw,55,Although,JPY,Bank,188616990,Kelsey James,364630701,EA,2025-03-12,Environment,US01,MAT-86920,EMP931721,63,2025-07-28,Pending,242606090,2025-07-29,Various Solution,Although,2025-07-29,GBP,7416406664,FO,PG80,EU01,231717809,2025-08-12,4,2026-10-29,Open,CT-8970-PLO,85,47,29,104,281,104,104
EA,10,43,Turkey,9874.57,14704.94,2025-10-21,No,Set,Movie,List,Tell,Yes,Remember,2025-11-08,563931564,Less,Large,19,Sister,EUR,Capital,396860931,Pam Banks,838460776,EA,2025-01-28,Keep,LAT04,MAT-33775,EMP571155,12,2025-10-20,Released,887537899,2025-10-21,Something Patch,See,2025-10-21,GBP,5612546310,FO,PG96,NA01,498063047,2025-11-08,4,2026-07-01,Open,CT-9831-IEW,8,2,30,34,276,34,33
EA,9,37,Sudan,25143.06,40454.87,2025-09-08,Yes,Summer,Stop,Training,Inside,No,Who,2025-09-25,977087839,Television,Light,15,Important,GBP,Week,855184735,John Mendez,589911629,EA,2024-07-18,Various,AP03,MAT-18409,EMP310692,81,2025-09-07,Released,645139644,2025-09-08,Commercial Tablet,Street,2025-09-08,GBP,7287670313,NB,PG91,EU01,297005891,2025-09-25,4,2024-09-30,Closed,CT-3228-ZKT,32,73,62,141,5,141,136
EA,3,11,Morocco,15197.18,40933.08,2025-03-15,Yes,Later,Huge,Like,Agreement,Yes,Certainly,2025-04-09,110882693,Mr,Today,53,Song,GBP,One,705249571,David Brandt,400073972,EA,2024-07-19,Director,LAT04,MAT-91309,EMP324920,50,2025-03-14,Released,818527842,2025-03-15,Simply Injection,Adult,2025-03-15,EUR,9319187728,NB,PG95,EU01,798512507,2025-04-09,2,2024-02-07,Closed,CT-8015-GMQ,12,35,8,49,461,49,45
EA,1,1,Switzerland,40451.72,30341.15,2025-01-01,Yes,Information,Cause,Or,Process,No,Simply,2025-01-14,776509027,Tough,Discuss,65,Message,USD,I,866368772,Benjamin Pierce,519046981,EA,2024-02-22,Two,US01,MAT-73628,EMP442780,40,2024-12-31,Pending,311389250,2025-01-01,Health Solution,Still,2025-01-01,GBP,8185561056,FO,PG53,EU01,235636132,2025-01-14,1,2024-11-17,Open,CT-3230-HFO,203,32,227,277,473,277,277
EA,1,1,Turkey,48628.26,16173.09,2025-01-04,No,Forward,Control,Night,Us,Yes,Staff,2025-02-01,604026185,Truth,Daughter,46,Like,JPY,Again,206625154,Bradley Hoover,603691180,EA,2026-03-06,Become,LAT04,MAT-82814,EMP965923,22,2025-01-03,Pending,109337964,2025-01-04,Reduce Solution,Call,2025-01-04,GBP,5568221606,NB,PG31,NA01,615958678,2025-02-01,4,2024-07-24,Closed,CT-3395-UCM,108,56,126,130,247,130,128
EA,1,4,Jordan,21706.8,24874.99,2025-01-25,Yes,Agency,Expect,Foot,Including,No,Manager,2025-02-21,190893742,Lot,Someone,37,Make,JPY,Hand,784173423,Larry Jordan,969925035,EA,2026-08-07,Physical,LAT04,MAT-53554,EMP792696,31,2025-01-24,Pending,866385180,2025-01-25,They Capsule,Soon,2025-01-25,USD,8865820713,FO,PG17,EU01,440006782,2025-02-21,2,2025-07-11,Open,CT-5014-EEP,60,131,168,275,480,275,271
EA,6,25,Algeria,12145.8,42484.79,2025-06-17,Yes,Wear,First,Town,View,No,Measure,2025-07-14,141714091,Within,Couple,74,Term,GBP,Appear,839782601,Vanessa Curry,838083173,EA,2024-02-09,Color,US01,MAT-81584,EMP470089,86,2025-06-16,Released,851890981,2025-06-17,Set Solution,Idea,2025-06-17,GBP,1411868660,NB,PG90,EU01,527082357,2025-07-14,4,2025-02-25,Closed,CT-5806-JWO,14,62,16,64,404,64,63
EA,8,34,Dominican Republic,18570.77,30729.79,2025-08-22,No,Media,Small,Seven,Spring,Yes,Include,2025-09-13,402104323,Control,Pretty,69,Indeed,GBP,Recently,280718400,Diane Bennett,174041248,EA,2024-05-20,Author,US01,MAT-78401,EMP544143,79,2025-08-21,Pending,766028670,2025-08-22,Expect Tablet,Few,2025-08-22,USD,2778685085,FO,PG72,NA01,817129513,2025-09-13,5,2025-11-10,Open,CT-1696-SCY,144,92,95,201,35,201,199
EA,12,51,Niger,33867.33,21364.71,2024-12-19,No,Herself,Indeed,Meeting,Once,Yes,Serve,2024-12-26,226906277,Police,Not,60,Lot,USD,Analysis,887051154,Kenneth Davis,277630333,EA,2026-03-18,Cover,EU02,MAT-18458,EMP848295,13,2024-12-18,Released,812348450,2024-12-19,Reason Tablet,Fish,2024-12-19,USD,5835047896,NB,PG61,NA01,535813327,2024-12-26,4,2025-09-29,Closed,CT-7487-KNX,50,148,54,177,25,177,174
EA,5,21,Haiti,13352.38,3394.58,2025-05-21,No,Wrong,Necessary,People,Financial,No,Suddenly,2025-06-18,274827409,Business,Them,88,This,EUR,Pressure,958380972,Jane Downs,861496155,EA,2024-10-16,Ago,US01,MAT-78401,EMP932912,29,2025-05-20,Pending,317162277,2025-05-21,Expect Tablet,Sit,2025-05-21,EUR,7213076895,FO,PG27,NA01,284135244,2025-06-18,2,2025-06-13,Closed,CT-1696-SCY,7,2,71,192,354,192,188
EA,1,3,Liechtenstein,40545.72,44772.93,2025-01-19,Yes,Support,Miss,Nature,Subject,Yes,Site,2025-02-02,561649393,Green,Edge,79,For,EUR,If,191852163,Laura Fowler,206042556,EA,2025-06-12,Or,EU02,MAT-82398,EMP986677,70,2025-01-18,Pending,994471274,2025-01-19,Range Solution,Each,2025-01-19,USD,3155809284,NB,PG18,EU01,156374974,2025-02-02,3,2025-06-28,Open,CT-8970-PLO,71,30,50,108,214,108,104
EA,2,6,Mozambique,27258.3,36259.26,2025-02-06,Yes,Any,Occur,Soon,Believe,No,Eat,2025-03-07,683343959,Nearly,Side,80,Serve,GBP,Way,882969745,Robert Chen,638797937,EA,2024-08-23,Else,US01,MAT-86920,EMP353706,80,2025-02-05,Released,480946298,2025-02-06,Various Solution,Share,2025-02-06,EUR,4221972572,FO,PG78,EU01,848290671,2025-03-07,2,2026-10-31,Closed,CT-8970-PLO,37,52,38,111,490,111,109
